V1,V2
0,1.180929744
0,13.80173924
0,16.34162221
0,12.47541442
0,11.19224111
0,1.107230041
0,2.112455554
0,2.304990401
0,4.637690307
0,2.202422531
0,5.468090268
2.030599017,15.06396966
2.057968745,9.393188047
2.088059322,8.092910615
2.100525761,13.70649181
2.1135229,27.00760777
2.127180901,5.252722069
2.187279929,4.081648782
2.211967244,3.348777105
2.221105618,5.091507104
2.32363703,8.317671002
2.325251687,11.01917149
2.335778802,3.329401588
2.335848176,5.373171089
2.381736623,3.952143198
2.393452345,3.221176186
2.413935107,2.548431434
2.414813588,10.33180366
2.434212256,19.87333553
2.45141323,11.52938143
2.454433767,6.665616555
2.497669296,9.08920778
2.506029483,8.245536122
2.527375061,6.94142137
2.529782475,2.958287205
2.553780223,9.779501781
2.563110941,5.71230907
2.608059965,10.24284796
2.61534853,2.764364265
2.644965463,8.83038112
2.645986221,8.677813687
2.719032177,2.772055206
2.721913006,4.279259455
2.732476308,2.861735087
2.74031689,18.47895627
2.743962343,8.969689628
2.767849511,5.780195612
2.809485523,4.46527235
2.83546674,4.958195187
2.840649127,8.542885072
2.856407969,4.866293274
2.898136927,2.979108179
2.934959788,3.318746387
2.959960514,8.269003043
2.960227661,4.084633797
2.969162499,4.606625638
2.97007995,11.88285889
2.997939972,3.788359644
3.066159998,10.36090022
3.133771441,10.35590027
3.171686549,7.188199279
3.234149571,25.30383184
3.288578624,6.060471954
3.314702088,8.749414082
3.356267595,7.347514993
3.416357937,4.002417003
3.421199447,4.815832699
3.505855964,5.114269875
3.574741409,8.241792257
3.699077537,3.817262343
3.735504834,4.385748479
3.776815325,5.134061524
3.86384466,9.607077379
4.010366815,6.61062464
4.029701872,9.576764715
4.033461918,10.18633249
4.041861837,5.733328165
4.051224329,5.120754934
4.072195212,9.88301353
4.118422604,9.200991132
4.143696409,9.125887672
4.144146194,5.001109986
4.145523722,8.13530844
4.153055893,9.59887313
4.153797052,10.54363082
4.171707909,8.702612063
4.216293423,10.58592067
4.22782167,10.87289453
4.258887623,20.89151483
4.281780497,10.87585139
4.282865324,8.398315144
4.282911286,5.661300043
4.282926798,12.17232832
4.296025496,10.07805021
4.307783349,4.56616111
4.312990305,8.915716467
4.3148276,17.13896655
4.349358579,5.649882372
4.349485551,5.963124972
4.351256052,6.819479079
4.352738173,10.16639655
4.36002798,6.624171546
4.371473989,11.67387849
4.377575466,6.684273535
4.380005737,11.45352021
4.431658265,15.35288744
4.432568667,5.644724692
4.441943097,4.489562114
4.447546518,5.885684738
4.449888296,5.676264265
4.456362668,5.574036915
4.477385886,8.198395872
4.484190587,34.68845146
4.516457519,6.583838737
4.548037749,21.47883474
4.550847298,6.505655142
4.580913221,5.39166226
4.587588095,12.42510284
4.608041092,8.665650057
4.613176954,26.75147778
4.6636092,7.967051867
4.687176088,12.86317615
4.694264675,13.77980219
4.698963826,4.778081561
4.709501515,27.36831118
4.719745314,9.568911875
4.736195281,14.28030728
4.765883214,8.098434483
4.782018865,5.107162144
4.792271246,4.882131756
4.813265231,10.52725347
4.841779622,5.189992289
4.847448103,10.06859709
4.871008131,10.29512902
4.961653379,16.18854572
4.973507092,5.735509328
5.027013754,5.714608751
5.028328657,16.420386
5.06577396,7.08122078
5.079474191,6.45909807
5.085449575,12.51856294
5.151974104,14.69938661
5.157603864,5.840523565
5.17399123,9.551010006
5.180031714,7.664767691
5.19415479,20.20648595
5.269407625,6.641221276
5.284153281,16.57908496
5.291912065,5.6501789
5.315132493,8.02958079
5.332004472,9.745452206
5.33336791,7.669602895
5.342338103,12.81757275
5.360901661,14.70535518
5.385366424,9.733779541
5.395363103,9.629707214
5.402838585,8.859801851
5.410328997,15.29310776
5.423837258,5.441614713
5.429995352,5.713241801
5.4651852,6.142934153
5.487312908,9.241117808
5.487881338,5.512627654
5.513597326,6.642112015
5.515089777,5.965319725
5.537843402,6.036866513
5.55953074,9.477502436
5.561717991,17.27292715
5.582836498,26.21909264
5.606657373,8.215516559
5.629597239,6.712941701
5.633675319,7.468411273
5.645070888,7.852156346
5.663064597,6.544712158
5.694112472,14.27716791
5.699148288,8.536391708
5.743957111,8.583411864
5.759155447,9.513896962
5.7726335,5.781590903
5.803421243,9.292705064
5.808972288,7.033183486
5.809877116,7.509864298
5.86299974,8.252258488
5.899490033,16.80495422
5.904379681,8.88216592
5.920089065,6.957541137
5.926534374,6.643325202
5.939603692,21.85164085
5.976813946,6.833585793
5.994834595,10.80992116
6.003374859,7.557590333
6.006652134,6.199666935
6.016405237,9.434659717
6.03529054,39.88253782
6.044962088,8.270625829
6.058559547,6.256387414
6.082018105,7.214682264
6.083108691,11.78117693
6.11070275,15.56337814
6.115988067,6.646861895
6.126922703,12.09629902
6.141370432,12.85834203
6.177151866,14.0057465
6.247508976,6.784704939
6.254916239,8.591905852
6.271330942,19.56119971
6.279970026,7.499691622
6.28868389,6.462771357
6.299849119,7.29265459
6.304028105,14.50101721
6.311975472,16.30388647
6.35169382,14.02464475
6.355516795,27.08724222
6.384972349,17.16411002
6.389854602,13.87629304
6.390046475,11.55499065
6.421798912,20.76078586
6.428679933,6.580896463
6.462182156,7.736691552
6.472515783,7.779391439
6.488067426,7.312182605
6.521192034,7.609370138
6.563354632,14.82749599
6.570477069,8.861977074
6.571770275,7.466336593
6.572337778,9.912659795
6.602560261,14.3731969
6.631195027,8.343222438
6.641508462,6.923951216
6.645911674,12.17404045
6.657753706,7.184771314
6.662654391,10.09817734
6.665871353,6.889350018
6.693881227,7.21417558
6.694809247,13.81061812
6.700146581,12.21354047
6.71232659,21.5435997
6.712666716,7.99460583
6.715579607,6.739933773
6.742543207,7.396759315
6.743842016,10.87671511
6.752110713,11.17019297
6.755913668,10.08076717
6.763015469,12.42903552
6.772211273,11.18774119
6.772332144,8.370000546
6.77694648,23.07389013
6.777352562,12.15745391
6.778584598,10.92217883
6.783037762,10.45359309
6.783425577,15.27730982
6.807804971,15.266504
6.827260556,7.850134161
6.876264806,11.47841041
6.919453857,17.71403633
6.925056555,13.26135479
6.926298642,12.19865319
6.930705902,10.35115048
6.950323765,15.9009118
6.97907485,13.56280789
6.992958064,7.130151644
6.996395418,8.525492447
7.017194219,12.53902561
7.326330681,8.654333978
7.341032937,13.96877025
7.383773076,9.570228106
7.474532144,8.163402314
7.53403476,8.740376283
7.551791818,11.08151006
7.563402296,18.71623401
7.588101912,12.01710369
7.610300347,10.93252235
7.616214514,10.29965385
7.63065379,20.31815724
7.63372279,10.36125658
7.651791794,15.71906292
7.673412044,27.42085058
7.843258529,8.707988664
7.845762289,9.296981385
7.898371463,9.949264155
7.954105546,19.82849422
7.991231612,8.206301105
8.018817052,12.87748587
8.053490237,12.4411834
8.055178366,12.43021434
8.119333259,10.6268089
8.124011042,23.6370084
8.130049823,15.2614852
8.143810391,10.61220896
8.189893713,9.829531902
8.19494101,8.445287782
8.198306836,8.289361295
8.207542662,16.93902046
8.24268329,17.56321616
8.249270424,9.717029658
8.260481452,30.65263141
8.289319843,40.28272088
8.311500382,9.027536321
8.31361761,32.39580601
8.35039975,9.080980749
8.359001891,10.17816437
8.374043182,11.64905484
8.389818488,14.11814087
8.42944506,10.53165965
8.438159007,13.11187442
8.446883103,14.58770258
8.484878482,21.70336839
8.486091992,9.148280017
8.489733163,10.26697395
8.498050766,9.219520596
8.553993293,13.1964024
8.582358662,9.844298729
8.587662072,15.857708
8.602614094,11.61517563
8.61341091,10.60665693
8.613868316,21.17475873
8.618004077,21.8939502
8.638915937,35.5580388
8.639591107,39.07338469
8.659898993,15.23278404
8.687282791,10.50903463
8.692257103,19.51573433
8.723192063,16.85000715
8.849594281,15.1832079
8.864394716,12.32916687
8.9156765,11.31817062
8.916083884,14.29938543
9.004493627,9.24473205
9.015360185,15.4858011
9.020240573,13.58471872
9.046470849,9.475631274
9.047873802,10.19133681
9.04943388,19.80580443
9.050489135,9.370542771
9.052050545,12.17493084
9.058296244,11.01780072
9.060365362,15.3060362
9.066593677,21.92982713
9.070238721,10.6152049
9.07043833,10.56149034
9.076356378,12.51435793
9.121089893,18.09950786
9.131941728,9.447642648
9.170430027,17.14415237
9.173311498,16.60549287
9.176103203,14.63608599
9.177788017,14.90496712
9.178920203,14.22754177
9.190201266,13.55839042
9.19957409,27.97418592
9.20923339,11.90149664
9.210329851,9.663502872
9.234548997,14.8067591
9.252929079,15.36925568
9.267410916,13.80653692
9.270545442,16.74747669
9.272223428,10.20561037
9.278439684,10.25407918
9.288393999,13.25920009
9.315526471,10.44902783
9.324911396,10.50833923
9.330408135,13.89049383
9.340616219,26.28783838
9.358952583,9.434654063
9.364851928,10.27192878
9.373686553,11.38253131
9.377637888,13.60565708
9.380444288,19.12401587
9.389028594,10.52000415
9.391191617,14.64854579
9.393763446,9.591492837
9.394733667,37.03443199
9.400183539,10.39585047
9.403619224,14.94354539
9.430127086,9.705387396
9.437728979,12.69073822
9.474558891,12.93242614
9.478271249,10.51898746
9.484772081,15.34458767
9.49712311,15.37801726
9.498913626,12.10974825
9.507544963,11.36514752
9.523150208,9.882910384
9.535203423,12.15200357
9.543065011,11.3147065
9.548754711,13.3747656
9.553491793,11.25417236
9.570238552,11.13307124
9.589819921,10.81644928
9.592243725,25.03818083
9.599062461,11.10483858
9.606489878,11.1068244
9.637212306,12.67857673
9.650156708,14.81848095
9.654867877,10.97261717
9.671322877,11.73131845
9.680768726,12.97227833
9.699665047,12.62699359
9.703059537,9.825611334
9.703621632,16.38247861
9.714230668,13.44696925
9.714967639,10.8844517
9.718605366,13.97240509
9.723373943,28.92709733
9.739976685,11.2165247
9.746779656,17.65379891
9.752810176,11.82109943
9.754354565,22.27844994
9.762712466,14.33662792
9.77291149,11.86504085
9.775168948,13.33549799
9.783794147,12.69482086
9.789300604,12.63590928
9.792939786,21.6403718
9.804022679,18.77666711
9.80433761,10.66250617
9.827592723,10.60220406
9.830673582,19.64235026
9.83484414,9.990750056
9.867593187,23.72441627
9.872383985,15.41764889
9.878231308,11.22485365
9.887140758,14.18082967
9.91729307,14.63276169
9.934700857,18.32863711
9.934804357,12.27446629
9.935382407,18.93735862
9.942770781,22.03559121
9.943502377,23.66963061
9.949437363,19.37733434
9.962093728,11.98765565
9.962744918,12.17088731
9.984841764,10.20797459
10.00039307,23.95673008
10.00838436,13.25954834
10.00879658,12.37919418
10.02647885,17.04585261
10.0274276,30.69137732
10.03606007,18.46505602
10.03704539,11.39049624
10.05246366,12.26553497
10.05418479,10.42559121
10.06206216,16.04099247
10.07039401,12.56477946
10.07203056,15.6117893
10.07252209,10.58831173
10.08723727,17.31200772
10.09154985,14.50262865
10.09431645,11.74734676
10.09970635,16.57045669
10.10856177,17.50578589
10.10867669,14.57305818
10.11290059,27.93271731
10.12448837,10.32643382
10.1313906,10.61802432
10.14504759,21.58253154
